timestamp_us,packet_type,payload_len,rtt_ms,loss_percent,tx_queue_depth,datagram_budget,stream_window_available,quic_ready,cpu_usage,heap_free,decision_mode,pacing_level
544550000,2,2815,21,0,3,1000,0,0,0,116,2,2
544600000,0,16,22,0,0,1300,1,0,0,116,0,0
544650000,2,2815,23,0,1,1200,1,0,0,116,2,2
544700000,0,16,24,0,2,1100,1,0,0,116,0,0
544750000,2,2800,25,0,3,1000,0,0,0,116,2,2
544800000,0,16,26,0,0,1300,1,0,0,116,0,0
544850000,2,2797,27,0,1,1200,1,0,0,116,2,2
544900000,0,16,28,0,2,1100,1,0,0,116,0,0
544950000,2,2809,29,0,3,1000,0,0,0,116,2,2
545000000,0,16,10,0,0,1300,1,0,0,116,0,0
545050000,2,2840,11,0,1,1200,1,0,0,116,2,2
545100000,0,16,12,0,2,1100,1,0,0,116,0,0
545150000,2,2840,13,0,3,1000,0,0,0,116,2,2
545200000,0,16,14,0,0,1300,1,0,0,116,0,0
545250000,2,2792,15,0,1,1200,1,0,0,116,2,2
545300000,0,16,16,0,2,1100,1,0,0,116,0,0
545350000,2,2819,17,0,3,1000,0,0,0,116,2,2
545400000,0,16,18,0,0,1300,1,0,0,116,0,0
545450000,2,2819,19,0,1,1200,1,0,0,116,2,2
545500000,0,16,20,0,2,1100,1,0,0,116,0,0
545550000,2,2842,21,0,3,1000,0,0,0,116,2,2
545600000,0,16,22,0,0,1300,1,0,0,116,0,0
545650000,2,2842,23,0,1,1200,1,0,0,116,2,2
545700000,0,16,24,0,2,1100,1,0,0,116,0,0
545750000,2,2787,25,0,3,1000,0,0,0,116,2,2
545800000,0,16,26,0,0,1300,1,0,0,116,0,0
545850000,2,2809,27,0,1,1200,1,0,0,116,2,2
545900000,0,16,28,0,2,1100,1,0,0,116,0,0
545950000,2,2809,29,0,3,1000,0,0,0,116,2,2
546000000,0,16,10,0,0,1300,1,0,0,116,0,0
546050000,2,2842,11,0,1,1200,1,0,0,116,2,2
546100000,0,16,12,0,2,1100,1,0,0,116,0,0
546150000,2,2842,13,0,3,1000,0,0,0,116,2,2
546200000,0,16,14,0,0,1300,1,0,0,116,0,0
546250000,2,2832,15,0,1,1200,1,0,0,116,2,2
546300000,0,16,16,0,2,1100,1,0,0,116,0,0
546350000,2,2820,17,0,3,1000,0,0,0,116,2,2
546400000,0,16,18,0,0,1300,1,0,0,116,0,0
546450000,2,2820,19,0,1,1200,1,0,0,116,2,2
546500000,0,16,20,0,2,1100,1,0,0,116,0,0
546550000,2,2819,21,0,3,1000,0,0,0,116,2,2
546600000,0,16,22,0,0,1300,1,0,0,116,0,0
546650000,2,2819,23,0,1,1200,1,0,0,116,2,2
546700000,0,16,24,0,2,1100,1,0,0,116,0,0
546750000,2,2814,25,0,3,1000,0,0,0,116,2,2
546800000,0,16,26,0,0,1300,1,0,0,116,0,0
546850000,2,2794,27,0,1,1200,1,0,0,116,2,2
546900000,0,16,28,0,2,1100,1,0,0,116,0,0
546950000,2,2812,29,0,3,1000,0,0,0,116,2,2
547000000,0,16,10,0,0,1300,1,0,0,116,0,0
547050000,2,2812,11,0,1,1200,1,0,0,116,2,2
547100000,0,16,12,0,2,1100,1,0,0,116,0,0
547150000,2,2824,13,0,3,1000,0,0,0,116,2,2
547200000,0,16,14,0,0,1300,1,0,0,116,0,0
547250000,2,2824,15,0,1,1200,1,0,0,116,2,2
547300000,0,16,16,0,2,1100,1,0,0,116,0,0
547350000,2,2790,17,0,3,1000,0,0,0,116,2,2
547400000,0,16,18,0,0,1300,1,0,0,116,0,0
547450000,2,2797,19,0,1,1200,1,0,0,116,2,2
547500000,0,16,20,0,2,1100,1,0,0,116,0,0
547550000,2,2820,21,0,3,1000,0,0,0,116,2,2
547600000,0,16,22,0,0,1300,1,0,0,116,0,0
547650000,2,2820,23,0,1,1200,1,0,0,116,2,2
547700000,0,16,24,0,2,1100,1,0,0,116,0,0
547750000,2,2821,25,0,3,1000,0,0,0,116,2,2
547800000,0,16,26,0,0,1300,1,0,0,116,0,0
547850000,2,2821,27,0,1,1200,1,0,0,116,2,2
547900000,0,16,28,0,2,1100,1,0,0,116,0,0
547950000,2,2843,29,0,3,1000,0,0,0,116,2,2
548000000,0,16,10,0,0,1300,1,0,0,116,0,0
548050000,2,2843,11,0,1,1200,1,0,0,116,2,2
548100000,0,16,12,0,2,1100,1,0,0,116,0,0
548150000,2,2818,13,0,3,1000,0,0,0,116,2,2
548200000,0,16,14,0,0,1300,1,0,0,116,0,0
548250000,2,2818,15,0,1,1200,1,0,0,116,2,2
548300000,0,16,16,0,2,1100,1,0,0,116,0,0
548350000,2,2834,17,0,3,1000,0,0,0,116,2,2
548400000,0,16,18,0,0,1300,1,0,0,116,0,0
548450000,2,2834,19,0,1,1200,1,0,0,116,2,2
548500000,0,16,20,0,2,1100,1,0,0,116,0,0
548550000,2,2804,21,0,3,1000,0,0,0,116,2,2
548600000,0,16,22,0,0,1300,1,0,0,116,0,0
548650000,2,2804,23,0,1,1200,1,0,0,116,2,2
548700000,0,16,24,0,2,1100,1,0,0,116,0,0
548750000,2,2781,25,0,3,1000,0,0,0,116,2,2
548800000,0,16,26,0,0,1300,1,0,0,116,0,0
548850000,2,2803,27,0,1,1200,1,0,0,116,2,2
548900000,0,16,28,0,2,1100,1,0,0,116,0,0
548950000,2,2803,29,0,3,1000,0,0,0,116,2,2
549000000,0,16,10,0,0,1300,1,0,0,116,0,0
549050000,2,2805,11,0,1,1200,1,0,0,116,2,2
