timestamp_us,packet_type,payload_len,rtt_ms,loss_percent,tx_queue_depth,datagram_budget,stream_window_available,quic_ready,cpu_usage,heap_free,decision_mode,pacing_level
950550000,2,2878,21,0,3,1000,0,0,0,72,2,2
950600000,0,16,22,0,0,1300,1,0,0,72,0,0
950650000,2,2878,23,0,1,1200,1,0,0,72,2,2
950700000,0,16,24,0,2,1100,1,0,0,72,0,0
950750000,2,2838,25,0,3,1000,0,0,0,72,2,2
950800000,0,16,26,0,0,1300,1,0,0,72,0,0
950850000,2,2859,27,0,1,1200,1,0,0,72,2,2
950900000,0,16,28,0,2,1100,1,0,0,72,0,0
950950000,2,2859,29,0,3,1000,0,0,0,72,2,2
951000000,0,16,10,0,0,1300,1,0,0,72,0,0
951050000,2,2842,11,0,1,1200,1,0,0,72,2,2
951100000,0,16,12,0,2,1100,1,0,0,72,0,0
951150000,2,2842,13,0,3,1000,0,0,0,72,2,2
951200000,0,16,14,0,0,1300,1,0,0,72,0,0
951250000,2,2828,15,0,1,1200,1,0,0,72,2,2
951300000,0,16,16,0,2,1100,1,0,0,72,0,0
951350000,2,2853,17,0,3,1000,0,0,0,72,2,2
951400000,0,16,18,0,0,1300,1,0,0,72,0,0
951450000,2,2859,19,0,1,1200,1,0,0,72,2,2
951500000,0,16,20,0,2,1100,1,0,0,72,0,0
951550000,2,2859,21,0,3,1000,0,0,0,72,2,2
951600000,0,16,22,0,0,1300,1,0,0,72,0,0
951650000,2,2836,23,0,1,1200,1,0,0,72,2,2
951700000,0,16,24,0,2,1100,1,0,0,72,0,0
951750000,2,2836,25,0,3,1000,0,0,0,72,2,2
951800000,0,16,26,0,0,1300,1,0,0,72,0,0
951850000,2,2798,27,0,1,1200,1,0,0,72,2,2
951900000,0,16,28,0,2,1100,1,0,0,72,0,0
951950000,2,2824,29,0,3,1000,0,0,0,72,2,2
952000000,0,16,10,0,0,1300,1,0,0,72,0,0
952050000,2,2819,11,0,1,1200,1,0,0,72,2,2
952100000,0,16,12,0,2,1100,1,0,0,72,0,0
952150000,2,2851,13,0,3,1000,0,0,0,72,2,2
952200000,0,16,14,0,0,1300,1,0,0,72,0,0
952250000,2,2851,15,0,1,1200,1,0,0,72,2,2
952300000,0,16,16,0,2,1100,1,0,0,72,0,0
952350000,2,2829,17,0,3,1000,0,0,0,72,2,2
952400000,0,16,18,0,0,1300,1,0,0,72,0,0
952450000,2,2833,19,0,1,1200,1,0,0,72,2,2
952500000,0,16,20,0,2,1100,1,0,0,72,0,0
952550000,2,2839,21,0,3,1000,0,0,0,72,2,2
952600000,0,16,22,0,0,1300,1,0,0,72,0,0
952650000,2,2844,23,0,1,1200,1,0,0,72,2,2
952700000,0,16,24,0,2,1100,1,0,0,72,0,0
952750000,2,2864,25,0,3,1000,0,0,0,72,2,2
952800000,0,16,26,0,0,1300,1,0,0,72,0,0
952850000,2,2864,27,0,1,1200,1,0,0,72,2,2
952900000,0,16,28,0,2,1100,1,0,0,72,0,0
952950000,2,2835,29,0,3,1000,0,0,0,72,2,2
953000000,0,16,10,0,0,1300,1,0,0,72,0,0
953050000,2,2829,11,0,1,1200,1,0,0,72,2,2
953100000,0,16,12,0,2,1100,1,0,0,72,0,0
953150000,2,2841,13,0,3,1000,0,0,0,72,2,2
953200000,0,16,14,0,0,1300,1,0,0,72,0,0
953250000,2,2841,15,0,1,1200,1,0,0,72,2,2
953300000,0,16,16,0,2,1100,1,0,0,72,0,0
953350000,2,2834,17,0,3,1000,0,0,0,72,2,2
953400000,0,16,18,0,0,1300,1,0,0,72,0,0
