timestamp_us,type,payload_len,rtt_ms,loss_percent,tx_queue_depth,datagram_budget,handshake_time_ms,stream_window_available,quic_ready,cpu_usage,heap_free,heap_caps,main_stack_hwm,net_tx_stack_hwm,tx_queue_max,route_queue_full_count,stream_send_ok,stream_send_fail,datagrams_sent,datagrams_lost,inference_us,inference_to_enqueue_us,decision_mode,pacing_level,ai,backend,det
40257944528,0,16,807,0,0,15699,2239,0,1,0,8332028,8325231,8448,0,0,0,1,0,0,0,0,0,0,0,,,
40258432692,2,2788,729,0,0,15771,2239,0,1,0,8291820,8296131,8416,0,0,0,2,0,0,0,15686,885,0,0,,,
40258734207,0,16,653,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,2,0,1,0,0,0,0,0,,,
40259196846,2,2821,590,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,3,0,1,0,16120,891,0,0,,,
40259497596,0,16,532,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,3,0,2,0,0,0,0,0,,,
40259966804,2,2833,484,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,4,0,2,0,16154,931,0,0,,,
40260267245,0,16,442,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,4,0,3,0,0,0,0,0,,,
40260738455,2,2835,405,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,5,0,3,0,16065,981,0,0,,,
40261041711,0,16,370,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,5,0,4,0,0,0,0,0,,,
40261508594,2,2835,343,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,6,0,4,0,16019,1067,0,0,,,
40261811806,0,16,315,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,6,0,5,0,0,0,0,0,,,
40262278777,2,2827,295,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,7,0,5,0,16002,901,0,0,,,
40262582188,0,16,273,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,7,0,6,0,0,0,0,0,,,
40263048782,2,2812,258,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,8,0,6,0,15922,881,0,0,,,
40263351618,0,16,241,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,8,0,7,0,0,0,0,0,,,
40263818709,2,2793,230,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,9,0,7,0,15955,946,0,0,,,
40264121758,0,16,220,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,9,0,8,0,0,0,0,0,,,
40264588784,2,2808,211,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,10,0,8,0,15982,1168,0,0,,,
40264891797,0,16,200,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,10,0,9,0,0,0,0,0,,,
40265358725,2,2822,194,0,0,15771,2239,0,1,0,8291676,8293027,8416,0,0,0,11,0,9,0,16036,951,0,0,,,
40265667212,0,16,189,0,0,15771,2239,0,1,0,8291676,8293027,8416,6512,0,0,11,0,10,0,0,0,0,0,,,
40266138666,2,2822,184,0,0,15771,2239,0,1,0,8291676,8293027,8416,6512,0,0,12,0,10,0,16010,1076,0,0,,,
40266442185,0,16,176,0,0,15771,2239,0,1,0,8291676,8293027,8416,6512,0,0,12,0,11,0,0,0,0,0,,,
40266908654,2,2806,173,0,0,15771,2239,0,1,0,8291676,8293027,8416,6512,0,0,13,0,11,0,16256,891,0,0,,,
40267270367,0,16,167,0,0,15771,2239,0,1,0,8291676,8293027,8416,6512,0,0,13,0,12,0,0,0,0,0,,,
40267744407,2,2802,166,0,0,15836,2239,0,1,0,8291676,8293027,8416,6512,0,0,14,0,12,0,16322,894,0,0,,,
40268047814,0,16,164,0,0,15836,2239,0,1,0,8291676,8293027,8416,6512,0,0,14,0,13,0,0,0,0,0,,,
40268518640,2,2831,162,0,0,15836,2239,0,1,0,8291676,8293027,8416,6512,0,0,15,0,13,0,15978,891,0,0,,,
40268822222,0,16,158,0,0,15836,2239,0,1,0,8291676,8293027,8416,6512,0,0,15,0,14,0,0,0,0,0,,,
40269288579,2,2831,157,0,0,15836,2239,0,1,0,8291676,8293027,8416,6512,0,0,16,0,14,0,16026,886,0,0,,,
40269591761,0,16,153,0,0,15836,2239,0,1,0,8291676,8293027,8416,6512,0,0,16,0,15,0,0,0,0,0,,,
40270058695,2,2810,152,0,0,15836,2239,0,1,0,8291676,8293027,8416,6512,0,0,17,0,15,0,15941,887,0,0,,,
40270362195,0,16,152,0,0,15836,2239,0,1,0,8291676,8292971,8416,6512,0,0,17,0,16,0,0,0,0,0,,,
40270828788,2,2835,152,0,0,15836,2239,0,1,0,8291676,8292723,8416,6512,0,0,18,0,16,0,16113,881,0,0,,,
40271132236,0,16,148,0,0,15836,2239,0,1,0,8291676,8292723,8416,6512,0,0,18,0,17,0,0,0,0,0,,,
40271598727,2,2835,148,0,0,15836,2239,0,1,0,8291676,8292723,8416,6512,0,0,19,0,17,0,16059,889,0,0,,,
40271902643,0,16,148,0,0,15836,2239,0,1,0,8291676,8292723,8416,6512,0,0,19,0,18,0,0,0,0,0,,,
40272378645,2,2821,150,0,0,15836,2239,0,1,0,8291676,8292723,8416,6512,0,0,20,0,18,0,15943,892,0,0,,,
40272681891,0,16,150,0,0,15836,2239,0,1,0,8291676,8292723,8416,6512,0,0,20,0,19,0,0,0,0,0,,,
40273148657,2,2805,150,0,0,15836,2239,0,1,0,8291676,8292723,8416,6512,0,0,21,0,19,0,15936,881,0,0,,,
40273457198,0,16,150,0,0,15836,2239,0,1,0,8291676,8292723,8416,6512,0,0,21,0,20,0,0,0,0,0,,,
40273928627,2,2819,150,0,0,15836,2239,0,1,0,8291676,8292723,8416,6512,0,0,22,0,20,0,16490,949,0,0,,,
40274232593,0,16,147,0,0,15836,2239,0,1,0,8291676,8291323,8416,6512,0,0,22,0,21,0,0,0,0,0,,,
40274708690,2,2819,149,0,0,15836,2239,0,1,0,8291676,8291323,8416,6512,0,0,23,0,21,0,15985,1059,0,0,,,
40275012184,0,16,146,0,0,15836,2239,0,1,0,8291676,8291323,8416,6512,0,0,23,0,22,0,0,0,0,0,,,
40275478716,2,2801,146,0,0,15836,2239,0,1,0,8291676,8291323,8416,6512,0,0,24,0,22,0,16073,964,0,0,,,
40275782186,0,16,143,0,0,15836,2239,0,1,0,8291676,8291323,8416,6512,0,0,24,0,23,0,0,0,0,0,,,
40276258795,2,2809,146,0,0,15836,2239,0,1,0,8291676,8291323,8416,6512,0,0,25,0,23,0,16019,1067,0,0,,,
40276562207,0,16,143,0,0,15836,2239,0,1,0,8291676,8291323,8416,6512,0,0,25,0,24,0,0,0,0,0,,,
40277080185,2,2813,144,0,0,15836,2239,0,1,0,8291676,8291323,8416,6512,0,0,26,0,24,0,16069,876,0,0,,,
40277389190,0,16,141,0,0,15884,2239,0,1,0,8291676,8291323,8416,6512,0,0,26,0,25,0,0,0,0,0,,,
40277858648,2,2857,143,0,0,15884,2239,0,1,0,8291676,8291323,8416,6512,0,0,27,0,25,0,16183,904,0,0,,,
40278162182,0,16,140,0,0,15884,2239,0,1,0,8291676,8291323,8416,6512,0,0,27,0,26,0,0,0,0,0,,,
40278628690,2,2857,142,0,0,15884,2239,0,1,0,8291676,8291323,8416,6512,0,0,28,0,26,0,16037,991,0,0,,,
40278932175,0,16,139,0,0,15884,2239,0,1,0,8291676,8291323,8416,6512,0,0,28,0,27,0,0,0,0,0,,,
40279398630,2,2819,141,0,0,15884,2239,0,1,0,8291676,8291323,8416,6512,0,0,29,0,27,0,16090,881,0,0,,,
40279701821,0,16,139,0,0,15884,2239,0,1,0,8291676,8291323,8416,6512,0,0,29,0,28,0,0,0,0,0,,,
40280168602,2,2831,140,0,0,15884,2239,0,1,0,8291676,8291323,8416,6512,0,0,30,0,28,0,16063,1039,0,0,,,
40280472531,0,16,138,0,0,15884,2239,0,1,0,8291676,8291323,8416,6512,0,0,30,0,29,0,0,0,0,0,,,
