log_time_ms,mode,source,len,qwait_us,send_us,e2e_us,depth,ret
6465,stream,mqtt,21,0,120654,120654,0,0
7825,stream,mqtt,34,0,72205,72205,0,0
8175,datagram,queue,20,23,57318,57341,0,0
8595,stream,mqtt,34,0,56038,56038,0,0
8935,datagram,queue,20,23,57308,57331,0,0
9355,stream,mqtt,34,0,49438,49438,0,0
9705,datagram,queue,20,23,57247,57270,0,0
10135,stream,mqtt,34,0,50210,50210,0,0
10475,datagram,queue,20,24,57647,57671,0,0
10905,stream,mqtt,34,0,56075,56075,0,0
11245,datagram,queue,20,23,57641,57664,0,0
11675,stream,mqtt,34,0,56163,56163,0,0
12015,datagram,queue,20,24,57816,57840,0,0
12445,stream,mqtt,34,0,56362,56362,0,0
12785,datagram,queue,20,23,57739,57762,0,0
13215,stream,mqtt,34,0,56282,56282,0,0
13555,datagram,queue,20,23,57588,57611,0,0
13985,stream,mqtt,34,0,56064,56064,0,0
14325,datagram,queue,20,23,57546,57569,0,0
14755,stream,mqtt,34,0,56062,56062,0,0
15095,datagram,queue,20,23,57685,57708,0,0
15535,stream,mqtt,34,0,51309,51309,0,0
15875,datagram,queue,20,23,58009,58032,0,0
16305,stream,mqtt,34,0,56320,56320,0,0
16645,datagram,queue,20,23,58096,58119,0,0
17135,stream,mqtt,34,0,54631,54631,0,0
17485,datagram,queue,20,24,58075,58099,0,0
17915,stream,mqtt,34,0,52066,52066,0,0
18255,datagram,queue,20,23,58086,58109,0,0
18685,stream,mqtt,34,0,56546,56546,0,0
19025,datagram,queue,20,23,58083,58106,0,0
19455,stream,mqtt,34,0,56032,56032,0,0
19795,datagram,queue,20,23,58082,58105,0,0
20225,stream,mqtt,34,0,56443,56443,0,0
20565,datagram,queue,20,23,58087,58110,0,0
20995,stream,mqtt,34,0,56504,56504,0,0
21335,datagram,queue,20,23,58087,58110,0,0
21765,stream,mqtt,34,0,57040,57040,0,0
22115,datagram,queue,20,23,58193,58216,0,0
22545,stream,mqtt,34,0,56155,56155,0,0
22885,datagram,queue,20,24,58216,58240,0,0
23325,stream,mqtt,34,0,51436,51436,0,0
23665,datagram,queue,20,23,58037,58060,0,0
24095,stream,mqtt,34,0,57028,57028,0,0
24445,datagram,queue,20,23,58000,58023,0,0
24875,stream,mqtt,34,0,56410,56410,0,0
25215,datagram,queue,20,23,58007,58030,0,0
25645,stream,mqtt,34,0,56418,56418,0,0
25995,datagram,queue,20,23,58068,58091,0,0
26425,stream,mqtt,34,0,56476,56476,0,0
26815,datagram,queue,20,23,58095,58118,0,0
27255,stream,mqtt,34,0,53416,53416,0,0
27595,datagram,queue,20,24,58073,58097,0,0
28025,stream,mqtt,34,0,56399,56399,0,0
28365,datagram,queue,20,23,57984,58007,0,0
28795,stream,mqtt,34,0,56302,56302,0,0
29135,datagram,queue,20,23,58273,58296,0,0
29565,stream,mqtt,34,0,56082,56082,0,0
29905,datagram,queue,20,23,58026,58049,0,0
30335,stream,mqtt,34,0,57023,57023,0,0
