log_time_ms,mode,source,len,qwait_us,send_us,e2e_us,depth,ret
6475,stream,mqtt,21,0,120668,120668,0,0
7835,stream,mqtt,34,0,72041,72041,0,0
8195,stream,queue,20,23,66206,66229,0,0
8615,stream,mqtt,34,0,56361,56361,0,0
8965,stream,queue,20,24,66300,66324,0,0
9385,stream,mqtt,34,0,57772,57772,0,0
9745,stream,queue,20,23,66291,66314,0,0
10165,stream,mqtt,34,0,49719,49719,0,0
10525,stream,queue,20,23,66738,66761,0,0
10955,stream,mqtt,34,0,54783,54783,0,0
11305,stream,queue,20,23,66917,66940,0,0
11735,stream,mqtt,34,0,55229,55229,0,0
12085,stream,queue,20,23,66827,66850,0,0
12515,stream,mqtt,34,0,55374,55374,0,0
12865,stream,queue,20,23,66917,66940,0,0
13295,stream,mqtt,34,0,55219,55219,0,0
13645,stream,queue,20,23,66791,66814,0,0
14075,stream,mqtt,34,0,55227,55227,0,0
14425,stream,queue,20,24,66688,66712,0,0
14855,stream,mqtt,34,0,55064,55064,0,0
15205,stream,queue,20,23,66642,66665,0,0
15645,stream,mqtt,34,0,50217,50217,0,0
15995,stream,queue,20,23,66977,67000,0,0
16425,stream,mqtt,34,0,55516,55516,0,0
16775,stream,queue,20,23,66982,67005,0,0
17205,stream,mqtt,34,0,55389,55389,0,0
17605,stream,queue,20,23,66993,67016,0,0
18045,stream,mqtt,34,0,52527,52527,0,0
18395,stream,queue,20,23,67339,67362,0,0
18825,stream,mqtt,34,0,55031,55031,0,0
19175,stream,queue,20,24,66918,66942,0,0
19605,stream,mqtt,34,0,55189,55189,0,0
19955,stream,queue,20,23,66995,67018,0,0
20395,stream,mqtt,34,0,50035,50035,0,0
20755,stream,queue,20,23,66974,66997,0,0
21185,stream,mqtt,34,0,58745,58745,0,0
21555,stream,queue,20,23,66984,67007,0,0
21995,stream,mqtt,34,0,54751,54751,0,0
22345,stream,queue,20,23,67046,67069,0,0
22775,stream,mqtt,34,0,55384,55384,0,0
23125,stream,queue,20,23,67224,67247,0,0
23565,stream,mqtt,34,0,51428,51428,0,0
23915,stream,queue,20,24,67175,67199,0,0
24345,stream,mqtt,34,0,55099,55099,0,0
24695,stream,queue,20,23,67080,67103,0,0
25125,stream,mqtt,34,0,55490,55490,0,0
25475,stream,queue,20,23,67328,67351,0,0
25905,stream,mqtt,34,0,55746,55746,0,0
26255,stream,queue,20,23,67160,67183,0,0
26685,stream,mqtt,34,0,55200,55200,0,0
27035,stream,queue,20,24,67073,67097,0,0
27515,stream,mqtt,34,0,57022,57022,0,0
27885,stream,queue,20,23,67075,67098,0,0
28315,stream,mqtt,34,0,51480,51480,0,0
28665,stream,queue,20,23,67082,67105,0,0
29095,stream,mqtt,34,0,55609,55609,0,0
29445,stream,queue,20,23,67079,67102,0,0
29875,stream,mqtt,34,0,55021,55021,0,0
30225,stream,queue,20,23,67434,67457,0,0
