timestamp_us,type,payload_len,rtt_ms,loss_percent,tx_queue_depth,datagram_budget,handshake_time_ms,stream_window_available,quic_ready,cpu_usage,heap_free,heap_caps,main_stack_hwm,net_tx_stack_hwm,tx_queue_max,route_queue_full_count,stream_send_ok,stream_send_fail,datagrams_sent,datagrams_lost,inference_us,inference_to_enqueue_us,decision_mode,pacing_level,ai,backend,det
40897857254,0,16,654,0,0,13200,2254,0,1,0,8325152,8330751,8752,0,0,0,0,0,1,0,0,0,0,0,,,
40898862801,2,2749,795,0,0,15693,2254,0,1,0,8295168,8299499,8752,0,0,0,0,0,2,0,15660,713737,0,0,,,
40900402351,0,16,0,0,8,0,2254,0,1,0,8284316,8279371,8752,0,10,18,0,0,7,18,0,0,0,0,,,
40900868356,2,2834,0,0,7,0,2254,0,1,0,8285320,8279371,8752,0,10,18,0,0,9,18,17538,839593,0,0,,,
40902641348,0,16,0,0,8,0,2254,0,1,0,8285324,8278591,8752,6512,10,43,0,0,15,43,0,0,0,0I00008206 0x44f717ca2e31da95 frm tx 16 1RTT DATAGRAM(0x31) len=1024,,,
40902909390,2,2834,0,0,8,0,2254,0,1,0,8286324,8278591,8752,6512,10,43,0,0,16,43,17420,852124,0,0,,,
40904686345,0,16,0,0,9,0,2254,0,1,0,8284272,8277931,8752,6512,10,68,0,0,22,68,0,0,0,0WOLFSSL: encrypt pt=0x3c1b36da ct=0x3c1b36da same=1 ptlen=1027 aadlen=10 pt[0..3]=31 44 00 61 aad[0..3]=40 82 d6 75,,,
40904954496,2,2822,0,0,9,0,2254,0,1,0,8284232,8277931,8752,6512,10,68,0,0,23,68,17513,860326,0,0I00011402 0x44f717ca2e31da95 frm tx 29 1RTT DATAGRAM(0x31) len=1024,,,
40906737912,0,16,0,0,9,0,2254,0,1,0,8284280,8277931,8752,6512,10,94,0,0,29,94,0,0,0,0I00012303 0x44f717ca2e31da95 frm tx 30 1RTT ACK(0x02) range=[32..6] len=26,,,
40907022348,2,2806,0,0,9,0,2254,0,1,0,8285280,8277931,8752,6512,10,94,0,0,30,94,17429,865717,0,0,,,
40908812966,0,16,0,0,8,0,2254,0,1,0,8285316,8276471,8752,6512,10,121,0,0,36,121,0,0,0,0,,,
40909283580,2,2839,0,0,7,0,2254,0,1,0,8287368,8276471,8752,6512,10,121,0,0,38,121,17534,843238,0,0,,,
40911061338,0,16,0,0,8,0,2254,0,1,0,8285324,8276471,8752,6512,10,146,0,0,44,146,0,0,0,0I00016626 0x44f717ca2e31da95 frm tx 45 1RTT DATAGRAM(0x31) len=1024,,,
40911329648,2,2846,0,0,8,0,2254,0,1,0,8286324,8276471,8752,6512,10,146,0,0,45,146,17895,853448,0,0,,,
40913114337,0,16,0,0,8,0,2254,0,1,0,8285316,8276471,8752,6512,10,172,0,0,51,172,0,0,0,0,,,
40913382699,2,2846,0,0,8,0,2254,0,1,0,8286324,8276471,8752,6512,10,172,0,0,52,172,17507,846613,0,0,,,
40915159817,0,16,0,0,9,0,2254,0,1,0,8284280,8276471,8752,6512,10,197,0,0,58,197,0,0,0,0I00020725 0x44f717ca2e31da95 frm tx 59 1RTT ACK(0x02) range=[61..33] len=28,,,
40915444334,2,2816,0,0,9,0,2254,0,1,0,8284232,8276471,8752,6512,10,197,0,0,59,197,17708,858659,0,0,,,
40917228357,0,16,0,0,9,0,2254,0,1,0,8284272,8276471,8752,6512,10,223,0,0,65,223,0,0,0,0WOLFSSL: encrypt pt=0x3c1b36da ct=0x3c1b36da same=1 ptlen=1027 aadlen=10 pt[0..3]=31 44 00 61 aad[0..3]=40 82 d6 75,,,
40917496731,2,2847,0,0,9,0,2254,0,1,0,8284232,8276471,8752,6512,10,223,0,0,66,223,17477,858885,0,0,,,
40919281336,0,16,0,0,9,0,2254,0,1,0,8284280,8276471,8752,6512,10,249,0,0,72,249,0,0,0,0I00024846 0x44f717ca2e31da95 frm tx 73 1RTT DATAGRAM(0x31) len=1024,,,
40919549654,2,2847,0,0,9,0,2254,0,1,0,8285280,8276471,8752,6512,10,249,0,0,73,249,17520,860355,0,0I00025997 0x44f717ca2e31da95 frm tx 79 1RTT DATAGRAM(0x31) len=1024,,,
40921328900,0,16,0,0,9,0,2254,0,1,0,8284272,8276471,8752,6512,10,275,0,0,79,275,0,0,0,0WOLFSSL: encrypt pt=0x3c1b12de ct=0x3c1b12de same=1 ptlen=1027 aadlen=10 pt[0..3]=31 44 00 61 aad[0..3]=40 82 d6 75,,,
