log_time_ms,mode,source,len,qwait_us,send_us,e2e_us,depth,ret
6405,datagram,mqtt,21,0,56634,56634,0,0
6505,datagram,queue,16,18,58036,58054,0,0
7665,datagram,queue,1024,19,190966,190985,0,0
7855,datagram,queue,1024,233169,137287,370456,0,0
8045,datagram,queue,1024,405054,137125,542179,1,0
8215,datagram,queue,1024,583428,120211,703639,2,0
8305,datagram,queue,1024,711960,56422,768382,3,0
9045,datagram,queue,1024,793096,707371,1500467,4,0
9135,datagram,queue,1024,1512850,56220,1569070,5,0
9515,datagram,queue,1024,1599982,338500,1938482,6,0
9705,datagram,queue,1024,1976051,134401,2110452,7,0
9905,datagram,queue,1024,2161463,137657,2299120,8,0
10095,datagram,queue,1024,2336414,138012,2474426,9,0
10285,datagram,queue,1024,2421724,138585,2560309,9,0
10405,datagram,queue,1024,2423560,59810,2483370,9,0
11285,datagram,queue,1024,2343013,839222,3182235,9,0
11555,datagram,queue,16,2319625,230758,2550383,8,0
11735,datagram,queue,1024,2102222,128521,2230743,7,0
11925,datagram,queue,1024,2269241,135494,2404735,8,0
12115,datagram,queue,1024,2439189,135334,2574523,9,0
12305,datagram,queue,1024,2579047,135501,2714548,9,0
12445,datagram,queue,1024,2594146,70326,2664472,9,0
13335,datagram,queue,1024,2517304,845606,3362910,9,0
13595,datagram,queue,1024,3207135,231146,3438281,9,0
13785,datagram,queue,16,2418185,134941,2553126,8,0
13975,datagram,queue,1024,2297075,135658,2432733,8,0
14165,datagram,queue,1024,2470973,135392,2606365,9,0
14365,datagram,queue,1024,2606758,135469,2742227,9,0
14495,datagram,queue,1024,2599964,77164,2677128,9,0
15405,datagram,queue,1024,2528182,866438,3394620,9,0
15665,datagram,queue,1024,3252337,217397,3469734,9,0
15875,datagram,queue,1024,3347908,138722,3486630,9,0
16065,datagram,queue,16,2653360,134951,2788311,9,0
16255,datagram,queue,1024,2532296,135368,2667664,9,0
16455,datagram,queue,1024,2637022,135468,2772490,9,0
16575,datagram,queue,1024,2637896,67096,2704992,9,0
17465,datagram,queue,1024,2556097,845661,3401758,9,0
17545,datagram,queue,1024,3239299,56867,3296166,9,0
17925,datagram,queue,1024,3147231,341252,3488483,9,0
18125,datagram,queue,16,2653362,134948,2788310,9,0
18315,datagram,queue,1024,2516180,135435,2651615,9,0
18515,datagram,queue,1024,2634616,138712,2773328,9,0
18705,datagram,queue,1024,2610921,138589,2749510,9,0
18825,datagram,queue,1024,2611640,60394,2672034,9,0
19705,datagram,queue,1024,2529571,839980,3369551,9,0
19975,datagram,queue,16,2328902,230673,2559575,8,0
20165,datagram,queue,1024,2107231,138442,2245673,7,0
20365,datagram,queue,1024,2280821,145530,2426351,8,0
20555,datagram,queue,1024,2460508,135459,2595967,9,0
20745,datagram,queue,1024,2600038,135477,2735515,9,0
20865,datagram,queue,1024,2600922,67263,2668185,9,0
21765,datagram,queue,1024,2532363,840084,3372447,9,0
22025,datagram,queue,1024,3216256,231205,3447461,9,0
22225,datagram,queue,16,2426348,138280,2564628,8,0
22415,datagram,queue,1024,2304892,138572,2443464,8,0
22605,datagram,queue,1024,2478870,138616,2617486,9,0
22795,datagram,queue,1024,2614630,138594,2753224,9,0
22915,datagram,queue,1024,2614671,70388,2685059,9,0
23825,datagram,queue,1024,2512469,867196,3379665,9,0
24085,datagram,queue,1024,3237332,217311,3454643,9,0
24275,datagram,queue,16,2428728,134938,2563666,8,0
24485,datagram,queue,1024,2325230,138729,2463959,8,0
24675,datagram,queue,1024,2499276,138617,2637893,9,0
24865,datagram,queue,1024,2634567,138607,2773174,9,0
24985,datagram,queue,1024,2635603,70385,2705988,9,0
25875,datagram,queue,1024,2557212,845651,3402863,9,0
26145,datagram,queue,1024,3246721,231120,3477841,9,0
26335,datagram,queue,1024,3342543,135292,3477835,9,0
26525,datagram,queue,16,2632102,134942,2767044,9,0
26715,datagram,queue,1024,2494627,135464,2630091,9,0
26905,datagram,queue,1024,2599478,135430,2734908,9,0
27045,datagram,queue,1024,2613955,70508,2684463,9,0
27925,datagram,queue,1024,2541959,839848,3381807,9,0
28195,datagram,queue,1024,3225633,231230,3456863,9,0
28385,datagram,queue,1024,3321371,135468,3456839,9,0
28575,datagram,queue,16,2616339,134945,2751284,9,0
28765,datagram,queue,1024,2495035,135462,2630497,9,0
28955,datagram,queue,1024,2599964,135486,2735450,9,0
29085,datagram,queue,1024,2599964,77339,2677303,9,0
29975,datagram,queue,1024,2521951,853630,3375581,9,0
30245,datagram,queue,1024,3219439,231206,3450645,9,0
