log_time_ms,mode,source,len,qwait_us,send_us,e2e_us,depth,ret
6475,stream,mqtt,21,0,120667,120667,0,0
7835,stream,mqtt,34,0,72032,72032,0,0
8275,datagram,queue,1024,24,148714,148738,0,0
8465,datagram,queue,1024,193942,134187,328129,0,0
8655,datagram,queue,1024,365899,134354,500253,1,0
8925,datagram,queue,1024,699969,49996,749965,3,0
9605,datagram,queue,1024,769608,636486,1406094,4,0
9885,datagram,queue,1024,1431958,244432,1676390,5,0
10055,datagram,queue,1024,1707283,124074,1831357,6,0
10165,stream,mqtt,34,0,72168,72168,0,0
10245,datagram,queue,1024,1869764,135019,2004783,7,0
10835,datagram,queue,1024,2022436,556803,2579239,8,0
11095,datagram,queue,1024,2622211,204944,2827155,9,0
11295,datagram,queue,1024,2801077,141716,2942793,9,0
11485,datagram,queue,1024,2809229,135468,2944697,9,0
11685,datagram,queue,1024,2811152,145527,2956679,9,0
11875,datagram,queue,1024,650019,138321,788340,3,0
11955,datagram,queue,1024,799286,50447,849733,4,0
12795,datagram,queue,1024,868892,798797,1667689,5,0
13075,datagram,queue,1024,1690889,236918,1927807,6,0
13245,datagram,queue,1024,1958827,119673,2078500,6,0
13345,datagram,queue,1024,2105492,62483,2167975,7,0
13435,stream,mqtt,34,0,139786,139786,0,0
13525,datagram,queue,1024,2206060,127172,2333232,8,0
14235,datagram,queue,1024,2357641,674419,3032060,9,0
14565,datagram,queue,1024,2906635,282225,3188860,9,0
14755,datagram,queue,1024,3056519,135566,3192085,9,0
14945,datagram,queue,1024,3063309,135466,3198775,9,0
15135,datagram,queue,1024,516696,135472,652168,2,0
15285,datagram,queue,1024,691662,94174,785836,3,0
16005,datagram,queue,1024,805363,681015,1486378,4,0
16305,datagram,queue,1024,1514811,258749,1773560,5,0
16465,datagram,queue,1024,1805387,114725,1920112,6,0
16565,stream,mqtt,34,0,89685,89685,0,0
16655,datagram,queue,1024,1970250,127004,2097254,7,0
17245,datagram,queue,1024,2114856,556985,2671841,8,0
17495,datagram,queue,1024,2692776,211062,2903838,9,0
17695,datagram,queue,1024,2910767,141715,3052482,9,0
17885,datagram,queue,1024,2914164,138754,3052918,9,0
18075,datagram,queue,1024,2914332,138457,3052789,9,0
18265,datagram,queue,1024,2914363,138580,3052943,9,0
18365,datagram,queue,1024,823251,50440,873691,4,0
19205,datagram,queue,1024,897009,799612,1696621,5,0
19485,datagram,queue,1024,1717342,236841,1954183,6,0
19655,datagram,queue,1024,1996449,113881,2110330,7,0
19765,datagram,queue,1024,2135549,62493,2198042,7,0
19855,stream,mqtt,34,0,130604,130604,0,0
19935,datagram,queue,1024,2224496,127061,2351557,8,0
20645,datagram,queue,1024,2375357,681000,3056357,9,0
20905,datagram,queue,1024,2931962,211012,3142974,9,0
21105,datagram,queue,1024,3010554,144849,3155403,9,0
21295,datagram,queue,1024,3016895,138579,3155474,9,0
21485,datagram,queue,1024,452473,138595,591068,2,0
21675,datagram,queue,1024,626036,138612,764648,3,0
21755,datagram,queue,1024,771161,50452,821613,4,0
22655,datagram,queue,1024,854722,844219,1698941,5,0
22945,datagram,queue,1024,1722205,252137,1974342,5,0
23115,datagram,queue,1024,2003788,124768,2128556,6,0
23225,stream,mqtt,34,0,70061,70061,0,0
23305,datagram,queue,1024,2169890,135616,2305506,7,0
23895,datagram,queue,1024,2323941,556977,2880918,8,0
24145,datagram,queue,1024,2902410,210970,3113380,9,0
24345,datagram,queue,1024,3038347,141686,3180033,9,0
24535,datagram,queue,1024,3044740,135293,3180033,9,0
24725,datagram,queue,1024,3044748,135545,3180293,9,0
25015,datagram,queue,1024,804425,50552,854977,4,0
25855,datagram,queue,1024,874371,799144,1673515,5,0
26145,datagram,queue,1024,1696687,246312,1942999,6,0
26315,datagram,queue,1024,1970637,124787,2095424,6,0
26415,stream,mqtt,34,0,75594,75594,0,0
26495,datagram,queue,1024,2130268,135721,2265989,7,0
27095,datagram,queue,1024,2283694,563491,2847185,8,0
27345,datagram,queue,1024,2873039,211085,3084124,9,0
27545,datagram,queue,1024,2975012,141729,3116741,9,0
27725,datagram,queue,1024,2971205,138585,3109790,9,0
27915,datagram,queue,1024,2971186,138594,3109780,9,0
28205,datagram,queue,1024,804774,50591,855365,4,0
29105,datagram,queue,1024,874393,857710,1732103,5,0
29405,datagram,queue,1024,1755279,252228,2007507,6,0
29575,datagram,queue,1024,2034958,124955,2159913,6,0
29675,stream,mqtt,34,0,75662,75662,0,0
29755,datagram,queue,1024,2194585,135617,2330202,7,0
30355,datagram,queue,1024,2348106,563217,2911323,8,0
