log_time_ms,mode,source,len,qwait_us,send_us,e2e_us,depth,ret
6475,stream,mqtt,21,0,120671,120671,0,0
7835,stream,mqtt,34,0,72029,72029,0,0
8295,stream,queue,1024,23,167645,167668,0,0
8495,stream,queue,1024,209979,153682,363661,0,0
8715,stream,queue,1024,401310,160588,561898,1,0
8885,stream,queue,1024,605992,119658,725650,2,0
9455,stream,queue,1024,735020,541704,1276724,3,0
9755,stream,queue,1024,1297934,253117,1551051,4,0
9935,stream,queue,1024,1581236,137993,1719229,5,0
10035,stream,mqtt,34,0,82357,82357,0,0
10125,stream,queue,1024,1751380,144312,1895692,6,0
10725,stream,queue,1024,1916716,565969,2482685,7,0
10995,stream,queue,1024,2508057,230328,2738385,8,0
11225,stream,queue,1024,2801527,155232,2956759,9,0
11435,stream,queue,1024,2927305,155062,3082367,9,0
11645,stream,queue,1024,2912698,155070,3067768,9,0
11815,stream,queue,1024,2907916,120444,3028360,9,0
12545,stream,queue,1024,873015,696849,1569864,4,0
12845,stream,queue,1024,1594175,255764,1849939,5,0
13025,stream,queue,1024,1879732,139150,2018882,6,0
13125,stream,mqtt,34,0,85445,85445,0,0
13215,stream,queue,1024,2045081,144831,2189912,7,0
13815,stream,queue,1024,2205476,566725,2772201,8,0
14095,stream,queue,1024,2795402,230432,3025834,9,0
14325,stream,queue,1024,3083799,155183,3238982,9,0
14525,stream,queue,1024,3070171,145029,3215200,9,0
14735,stream,queue,1024,3077022,155093,3232115,9,0
14915,stream,queue,1024,3060166,130760,3190926,9,0
15685,stream,queue,1024,873324,748013,1621337,4,0
15995,stream,queue,1024,1645845,261568,1907413,5,0
16175,stream,queue,1024,1937170,139232,2076402,6,0
16275,stream,mqtt,34,0,87041,87041,0,0
16375,stream,queue,1024,2102539,144938,2247477,7,0
16975,stream,queue,1024,2269096,560322,2829418,8,0
17245,stream,queue,1024,2852729,230589,3083318,9,0
17465,stream,queue,1024,3141311,148242,3289553,9,0
17675,stream,queue,1024,3117632,155055,3272687,9,0
17885,stream,queue,1024,3127689,155173,3282862,9,0
18065,stream,queue,1024,3141426,130764,3272190,9,0
18935,stream,queue,1024,873261,837718,1710979,4,0
19235,stream,queue,1024,1735297,261903,1997200,5,0
19415,stream,queue,1024,2026855,139138,2165993,6,0
19515,stream,mqtt,34,0,78296,78296,0,0
19615,stream,queue,1024,2192275,144771,2337046,7,0
20215,stream,queue,1024,2358779,560449,2919228,8,0
20485,stream,queue,1024,2942396,230598,3172994,9,0
20715,stream,queue,1024,3230978,155235,3386213,9,0
20925,stream,queue,1024,3241111,155089,3396200,9,0
21135,stream,queue,1024,3224302,155062,3379364,9,0
21305,stream,queue,1024,3241052,120834,3361886,9,0
22035,stream,queue,1024,873479,696948,1570427,4,0
22335,stream,queue,1024,1594677,262699,1857376,5,0
22505,stream,queue,1024,1889714,120006,2009720,6,0
22615,stream,mqtt,34,0,63043,63043,0,0
22705,stream,queue,1024,2038697,151988,2190685,7,0
23305,stream,queue,1024,2206252,566823,2773075,8,0
23575,stream,queue,1024,2796431,230655,3027086,9,0
23805,stream,queue,1024,3085010,155187,3240197,9,0
24015,stream,queue,1024,3071383,155099,3226482,9,0
24225,stream,queue,1024,3085199,155058,3240257,9,0
24405,stream,queue,1024,3071448,120869,3192317,9,0
25125,stream,queue,1024,879530,691039,1570569,4,0
25425,stream,queue,1024,1595035,255844,1850879,5,0
25605,stream,queue,1024,1880683,139156,2019839,6,0
25705,stream,mqtt,34,0,78741,78741,0,0
25805,stream,queue,1024,2046040,145004,2191044,7,0
26455,stream,queue,1024,2212783,611976,2824759,8,0
26735,stream,queue,1024,2847975,236575,3084550,9,0
26965,stream,queue,1024,3142613,155177,3297790,9,0
27175,stream,queue,1024,3128985,162019,3291004,9,0
27385,stream,queue,1024,3152797,155068,3307865,9,0
27555,stream,queue,1024,3135927,113936,3249863,9,0
28275,stream,queue,1024,873446,696836,1570282,4,0
28585,stream,queue,1024,1594723,262502,1857225,5,0
28765,stream,queue,1024,1889540,129774,2019314,6,0
28865,stream,mqtt,34,0,81109,81109,0,0
28955,stream,queue,1024,2045522,145012,2190534,7,0
29555,stream,queue,1024,2206115,566745,2772860,8,0
29825,stream,queue,1024,2795993,230628,3026621,9,0
30055,stream,queue,1024,3084813,155188,3240001,9,0
30265,stream,queue,1024,3071189,155063,3226252,9,0
